main_id,name,longitude,latitude,geometry,peatland_presence
BC-MAIN-853363d1-1,KSM,-130.33556,56.46666,POINT (-130.33556 56.46666),No data
QC-MAIN-1b3434ee-1,Horne 5,-79.00953,48.25425,POINT (-79.00953 48.25425),No data
BC-MAIN-b6135486-1,Revel Ridge,-118.121,51.287,POINT (-118.121 51.287),No data
BC-MAIN-96b6e5eb-1,Kitsault Valley,-129.57778,55.75361,POINT (-129.57778 55.75361),No data
BC-MAIN-53bba17f-1,Eskay Creek,-130.43,56.653,POINT (-130.43 56.653),No data
YT-MAIN-11319f2d-1,Freegold Mountain,-137.2,62.3,POINT (-137.2 62.3),No data
MB-MAIN-e03a8156-1,East Wekusko - Snow Lake,-99.77143,54.78534,POINT (-99.77143 54.78534),peat in soil mosaic
YT-MAIN-6dca29e5-1,Klaza,-137.3175,62.14117,POINT (-137.3175 62.14117),No data
BC-MAIN-3091ca70-1,Deer Horn,-127.30826,53.3607,POINT (-127.30826 53.3607),No data
MB-MAIN-b483545e-1,Monument Bay,-92.914016,54.446415,POINT (-92.914016 54.446415),peat in soil mosaic
YT-MAIN-60122d63-1,Rackla Gold,-134.41278,64.19667,POINT (-134.41278 64.19667),No data
MB-MAIN-1136efa4-2,Stall Lake,-99.9451,54.85692,POINT (-99.9451 54.85692),peat in soil mosaic
